accepted_name,family,seeded,pool_size,height,seedmass,sla,lifeform,taxonomic_status,accepted_name_rank,source,accepted_name_url
Medicago lupulina,Fabaceae,NA,NA,0.393333333,0.001660477,272.39,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506268-1
Monarda fistulosa,Lamiaceae,1,18,1.205,3.75e-4,152.61095707,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:452042-1
Monarda punctata,Lamiaceae,1,33,0.3984615384615385,2.69e-4,239.5449567099567,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:452072-1
Morus alba,Moraceae,NA,NA,13,0.004701111,NA,tree,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30051955-2
Muhlenbergia frondosa,Poaceae,NA,NA,0.61,2.11e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164779-2
Oenothera biennis,Onagraceae,NA,NA,1.079,5.1e-4,157.01,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:172755-2
Panicum virgatum,Poaceae,1,6,1.65,0.001527,117.54759165499999,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:413537-1
Parthenium integrifolium,Asteraceae,NA,NA,0.87,0.00308,146.9424612,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:236512-1
Parthenocissus quinquefolia,Vitaceae,NA,NA,6.766666667,0.023885417,198.35,shrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184091-2
Penstemon cobaea,Plantaginaceae,NA,NA,NA,0.00307,NA,forb,Synonym,species,wfo,https://www.worldfloraonline.org/taxon/wfo-0001136586
Penstemon digitalis,Plantaginaceae,1,12,1.2,0.001134,108.127100986,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:808077-1
Penstemon hirsutus,Plantaginaceae,1,33,0.457,1.6e-4,147.5116004105263,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:808137-1
Phleum pratense,Poaceae,NA,NA,0.660333333,4.26e-4,258.15,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415868-1
Plantago lanceolata,Plantaginaceae,NA,NA,0.278333333,0.001424813,186.26,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:321285-2
Poa compressa,Poaceae,NA,NA,0.415,2.02e-4,194.2,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204172-2
Poa pratensis,Poaceae,NA,NA,0.353333333,0.006821617,212.92,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:417792-1
Potentilla argentea,Rosaceae,NA,NA,0.252,8.98e-5,167,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:727660-1
