id_plot,site,year,id_tin,tinfilter_g,soil_soaked_g,soil_dried_g,water_cap,notes,,,,
SWS_1,SW Station,2018,64,23.07,204.06,153.18,0.391,,,,,
SWS_2,SW Station,2018,60,24.1,205.28,148.53,0.456,,,,,
SWS_3,SW Station,2018,23,23.53,198.62,144.14,0.452,,,,,
SWS_4,SW Station,2018,34,23.02,229.88,168.23,0.425,,,,,
SWS_5,SW Station,2018,72,23.56,208.54,153.86,0.420,,,,,
SWS_6,SW Station,2018,48,24.09,198.28,143.11,0.464,,,,,
SWS_7,SW Station,2018,70,23.18,170.19,124.76,0.447,,,,,
SWS_8,SW Station,2018,62,23.6,199.75,148.33,0.412,,,,,
SWS_9,SW Station,2018,54,22.88,209.7,152.42,0.442,,,,,
SWS_10,SW Station,2018,40,24.07,149.99,115.54,0.377,,,,,
SWS_11,SW Station,2018,30,23.03,234.04,174.73,0.391,,,,,
SWS_12,SW Station,2018,25,24.89,225.71,163.59,0.448,,,,,
SWS_13,SW Station,2018,31,27.83,188.72,142.72,0.400,"new tin, confirmed plot 13 ",,,,
SWS_14,SW Station,2018,39,23.24,195.17,142.6,0.440,,,,,
SWS_15,SW Station,2018,69,24.51,174.13,128.38,0.440,,,,,
SWS_16,SW Station,2018,58,23.16,211.46,157,0.407,,,,,
SWS_17,SW Station,2018,33,25.09,205.22,151.87,0.421,,,,,
SWS_18,SW Station,2018,40,23.95,216.77,159.4,0.424,,,,,
SWS_19,SW Station,2018,33,25.25,210.4,155.51,0.421,,,,,
SWS_20,SW Station,2018,1,23.96,212.27,159.39,0.390,,,,,
SWS_21,SW Station,2018,61,23.51,214.48,159.05,0.409,,,,,
SWS_22,SW Station,2018,6,22.89,211.26,153.09,0.447,,,,,
SWS_23,SW Station,2018,26,23.27,205.45,151.99,0.415,,,,,
SWS_24,SW Station,2018,44,23.89,204.19,153.82,0.388,,,,,
SWS_25,SW Station,2018,21,23.24,213.47,158.31,0.408,,,,,
SWS_26,SW Station,2018,47,23.09,206.57,153.97,0.402,,,,,
SWS_27,SW Station,2018,17,24.69,199.58,143.37,0.474,,,,,
SWS_28,SW Station,2018,20,23.17,201.05,145.76,0.451,,,,,
SWS_29,SW Station,2018,41,23.88,194.25,144,0.418,,,,,
SWS_30,SW Station,2018,65,23.21,202.06,147.51,0.439,,,,,
SWS_31,SW Station,2018,19,22.51,205.93,149.32,0.446,,,,,
SWS_32,SW Station,2018,6,22.85,216.1,158.33,0.426,,,,,
SWS_33,SW Station,2018,5,25.19,164.06,113.79,0.567,,,,,
SWS_34,SW Station,2018,9,23.85,217.36,157.89,0.444,,,,,
SWS_35,SW Station,2018,38,24.1,220.52,164.78,0.396,,,,,
SWS_36,SW Station,2018,31,23.34,157.54,120.51,0.381,,,,,
SWS_37,SW Station,2018,52,22.94,220.28,160.74,0.432,,,,,
SWS_38,SW Station,2018,2,25.04,216.56,154.69,0.477,,,,,
