species,seed_mass
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERYYUC,3.82
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
ERYYUC,NA
EUPMAC,0.27875
EUPPER,0.105875
EUPPUR,0.45
EUPCOR,3.79
FALCON,6.7
FRAVIR,0.464142857
GAUBIE,10.5
GENAND,0.05875
GERMAC,6.07
GEUCAN,7.23425
HELGIG,3.228
HELGRO,1.97
HELMOL,4.742857143
HELOCC,2.265714286
HELPAU,7.77
HELSTR,5.27
HELHEL,4.506
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HELHEL,NA
HIERACIUM,0.273333333
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HIERACIUM,NA
HYPASC,0.12
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPASC,NA
HYPKAL,0.08
HYPPER,0.1863
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPER,NA
HYPPUN,0.04
HYPRAD,0.832461538
JUNDUD,0.01
JUNTEN,0.0115
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTEN,NA
JUNTOR,0.0104
KOEMAC,0.320090909
LESCAP,2.900153846
LESVIR,1.91
LIAASP,2.0125
LIACYL,3.463
LIAPYC,1.7875
LIASPI,2.997
LOBINF,0.014
LOBSIP,0.036875
LUDALT,0.029875
LUPPER,22.11488889
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LUPPER,NA
LYCOPUS,0.173159722
MAIRAC,29.31
MEDLUP,1.562230769
MELILOTUS,2.253696356
MONFIS,0.385705882
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONFIS,NA
MONPUN,0.290875
MORALB,9.66
MUHFRO,0.12
OENBIE,0.380866667
OXALIS,0.218
PANVIR,1.324375
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PANVIR,NA
PARINT,3.08
PARINT,NA
PARINT,NA
PARINT,NA
PARINT,NA
PARINT,NA
PARQUI,25.877
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
PENDIG,NA
